title,productCategory,productType,vendor,compareAtPrice,price
Cabbage Roll,RF Shielding,Books,The Corner Store, 7.66, 7.76
"Bread - Roll, Whole Wheat",Framing (Steel),Home Decor,The Corner Store, 8.81, 8.00
Tea Peppermint,Ornamental Railings,Electronics,Fashion Avenue, 0.61, 0.57
"Olives - Black, Pitted",Exterior Signage,Clothing,The Corner Store, 1.69, 4.52
"Turkey - Breast, Double",Wall Protection,Sports,Fashion Avenue, 1.88, 3.97
Cheese - Bakers Cream Cheese,Rebar & Wire Mesh Install,Electronics,The Corner Store, 1.73, 5.72
Daikon Radish,Electrical and Fire Alarm,Electronics,The Book Nook, 2.93, 7.13
Ecolab - Power Fusion,Exterior Signage,Sports,The Book Nook, 7.35, 6.64
"Napkin - Beverge, White 2 - Ply",Painting & Vinyl Wall Covering,Books,Tech Hub, 8.18, 6.00
Lamb - Whole Head Off,Structural & Misc Steel Erection,Books,Fashion Avenue, 4.32, 4.21
