title,productCategory,productType,vendor,compareAtPrice,price,image,Description,tags,variants,variantprice
Gloves - Goldtouch Disposable,Drywall & Acoustical (MOB),Clothing,Fashion Avenue, 7.94, 7.90,http://dummyimage.com/174x100.png/ff4444/ffffff,Sed do eiusmod tempor incididunt,sports,Khaki, 1.26
Pie Filling - Pumpkin,Marlite Panels (FED),Sports,The Corner Store, 1.37, 5.57,http://dummyimage.com/183x100.png/dddddd/000000,Sed do eiusmod tempor incididunt,sports,Orange, 8.54
Cookie Chocolate Chip With,Structural & Misc Steel Erection,Beauty,Tech Hub, 0.78, 4.32,http://dummyimage.com/143x100.png/dddddd/000000,Ut enim ad minim veniam,food,Aquamarine, 8.36
Glaze - Apricot,Granite Surfaces,Electronics,The Book Nook, 1.26, 2.69,http://dummyimage.com/221x100.png/dddddd/000000,Consectetur adipiscing elit,travel,Crimson, 1.42
Cake Slab,Electrical,Beauty,The Corner Store, 2.83, 2.87,http://dummyimage.com/171x100.png/ff4444/ffffff,Consectetur adipiscing elit,food,Yellow, 3.95
"Pasta - Penne Primavera, Single",HVAC,Beauty,Tech Hub, 3.54, 1.42,http://dummyimage.com/169x100.png/5fa2dd/ffffff,Lorem ipsum dolor sit amet,food,Aquamarine, 5.19
Wine - Pinot Noir Pond Haddock,"Temp Fencing, Decorative Fencing and Gates",Sports,Tech Hub, 9.01, 8.63,http://dummyimage.com/158x100.png/ff4444/ffffff,Ut enim ad minim veniam,sports,Pink, 5.51
Dried Figs,"Doors, Frames & Hardware",Books,Tech Hub, 8.88, 3.20,http://dummyimage.com/119x100.png/dddddd/000000,Ut labore et dolore magna aliqua,travel,Crimson, 0.68
Sugar - Brown,Curb & Gutter,Sports,Tech Hub, 1.11, 4.63,http://dummyimage.com/155x100.png/dddddd/000000,Ut labore et dolore magna aliqua,technology,Maroon, 5.18
Boogies,Epoxy Flooring,Books,The Corner Store, 5.43, 7.51,http://dummyimage.com/100x100.png/dddddd/000000,Lorem ipsum dolor sit amet,technology,Purple, 9.34
